family,seed,learning_rate,num_train_timesteps,block_out_channels,num_epochs,final_train_loss,fid,kid_mean,kid_std
diffusion,0,0.0002,1000,"(64, 128, 128)",30,0.03346247353907818,63.390811920166016,0.04563549533486366,0.00686594657599926
diffusion,1,0.0002,1000,"(64, 128, 128)",30,0.03265878424891616,67.02555847167969,0.05568649247288704,0.0077747926115989685
diffusion,2,0.0002,1000,"(64, 128, 128)",30,0.03313498466592425,41.30382537841797,0.02226102352142334,0.003956933505833149
diffusion,3,0.0002,1000,"(64, 128, 128)",30,0.03307579636402295,67.13512420654297,0.05030244216322899,0.007602651137858629
diffusion,4,0.0002,1000,"(64, 128, 128)",30,0.03327844997324869,46.627925872802734,0.028134651482105255,0.00489641260355711
diffusion,5,0.0002,1000,"(64, 128, 128)",30,0.033452053269719145,52.718448638916016,0.036856792867183685,0.005311019252985716
diffusion,6,0.0002,1000,"(64, 128, 128)",30,0.03295612951164203,58.48977279663086,0.0386602021753788,0.006751543376594782
diffusion,7,0.0002,1000,"(64, 128, 128)",30,0.033162155038560445,74.08840942382812,0.05576535686850548,0.007059845142066479
diffusion,8,0.0002,1000,"(64, 128, 128)",30,0.03353049543440875,47.841312408447266,0.02946995198726654,0.005310537293553352
diffusion,9,0.0002,1000,"(64, 128, 128)",30,0.033072855867817046,62.68971633911133,0.04975685104727745,0.00651280814781785
